player_id,player_name
McCaCh01,Christian McCaffrey
JackLa00,Lamar Jackson
HenrDe00,Derrick Henry
JoneAa00,Aaron Jones
ElliEz00,Ezekiel Elliott
CookDa01,Dalvin Cook
ThomMi05,Michael Thomas
KelcTr00,Travis Kelce
ChubNi00,Nick Chubb
IngrMa01,Mark Ingram
EkelAu00,Austin Ekeler
PresDa01,Dak Prescott
AndrMa00,Mark Andrews
WilsRu00,Russell Wilson
GodwCh00,Chris Godwin
KittGe00,George Kittle
WatsDe00,Deshaun Watson
CarsCh00,Chris Carson
GollKe00,Kenny Golladay
WallDa01,Darren Waller
BarkSa00,Saquon Barkley
ErtzZa00,Zach Ertz
MixoJo00,Joe Mixon
GurlTo01,Todd Gurley
CookJa02,Jared Cook
KuppCo00,Cooper Kupp
JoneJu02,Julio Jones
ParkDe01,DeVante Parker
FourLe00,Leonard Fournette
WinsJa00,Jameis Winston
HoopAu00,Austin Hooper
CoopAm00,Amari Cooper
EvanMi00,Mike Evans
BrowAJ00,A.J. Brown
HopkDe00,DeAndre Hopkins
JacoJo01,Josh Jacobs
SandMi01,Miles Sanders
AlleKe00,Keenan Allen
RobiAl02,Allen Robinson
KamaAl00,Alvin Kamara
MackMa00,Marlon Mack
EdelJu00,Julian Edelman
AlleJo02,Josh Allen
LandJa00,Jarvis Landry
DrakKe00,Kenyan Drake
LockTy00,Tyler Lockett
CharDJ00,DJ Chark
MahoPa00,Patrick Mahomes
MurrKy00,Kyler Murray
LindPh00,Phillip Lindsay
SuttCo00,Courtland Sutton
DiggSt00,Stefon Diggs
BrowJo02,John Brown
GallMi00,Michael Gallup
HenrHu00,Hunter Henry
RodgAa00,Aaron Rodgers
HigbTy00,Tyler Higbee
MoorD.00,D.J. Moore
WoodRo02,Robert Woods
WentCa00,Carson Wentz
MostRa00,Raheem Mostert
GoedDa00,Dallas Goedert
BellLe00,Le'Veon Bell
GesiMi00,Mike Gesicki
HillTa00,Taysom Hill
MontDa01,David Montgomery
RidlCa00,Calvin Ridley
McLaTe00,Terry McLaurin
RyanMa00,Matt Ryan
BoydTy00,Tyler Boyd
HydeCa00,Carlos Hyde
JoneMa02,Marvin Jones
SamuDe00,Deebo Samuel
HillTy00,Tyreek Hill
AdamDa01,Davante Adams
BradTo00,Tom Brady
GoffJa00,Jared Goff
GaroJi00,Jimmy Garoppolo
CarrDe02,Derek Carr
CousKi00,Kirk Cousins
FitzRy00,Ryan Fitzpatrick
RivePh00,Philip Rivers
MayfBa00,Baker Mayfield
MinsGa00,Gardner Minshew II
BreeDr00,Drew Brees
TannRy00,Ryan Tannehill
