player_name,player_id
Christian McCaffrey,McCaCh01
CeeDee Lamb,LambCe00
Josh Allen,AlleJo02
Tyreek Hill,HillTy00
Jalen Hurts,HurtJa00
Raheem Mostert,MostRa00
Amon-Ra St. Brown,StxxAm00
Dak Prescott,PresDa01
Mike Evans,EvanMi00
Lamar Jackson,JackLa00
Sam LaPorta,LaPoSa01
Travis Etienne,EtieTr00
Kyren Williams,WillKy02
Puka Nacua,NacuPu00
D.J. Moore,MoorD.00
Derrick Henry,HenrDe00
Joe Mixon,MixoJo00
Jordan Love,LoveJo03
Breece Hall,HallBr03
A.J. Brown,BrowAJ00
Deebo Samuel,SamuDe00
George Kittle,KittGe00
Nico Collins,CollNi00
Rachaad White,WhitRa01
Brandon Aiyuk,AiyuBr00
Travis Kelce,KelcTr00
Keenan Allen,AlleKe00
T.J. Hockenson,HockTJ00
Stefon Diggs,DiggSt00
David Njoku,NjokDa00
Brock Purdy,PurdBr00
David Montgomery,MontDa01
Ja'Marr Chase,ChasJa00
Davante Adams,AdamDa01
Jahmyr Gibbs,GibbJa01
Evan Engram,EngrEv00
James Cook,CookJa01
Bijan Robinson,RobiBi01
D.K. Metcalf,MetcDK00
Jared Goff,GoffJa00
Taysom Hill,HillTa00
Amari Cooper,CoopAm00
Saquon Barkley,BarkSa00
Calvin Ridley,RidlCa00
Jayden Reed,ReedJa03
Cole Kmet,KmetCo00
Jordan Addison,AddiJo00
Jake Ferguson,FergJa00
DeAndre Hopkins,HopkDe00
Patrick Mahomes,MahoPa00
Jakobi Meyers,MeyeJa01
James Conner,ConnJa00
Gus Edwards,EdwaGu00
DeVonta Smith,SmitDe07
George Pickens,PickGe00
Trey McBride,McBrTr01
Chris Olave,OlavCh00
C.J. Stroud,StroCJ00
Kenneth Walker III,WalkKe00
Baker Mayfield,MayfBa00
Isiah Pacheco,PachIs00
Michael Pittman Jr.,PittMi01
Tony Pollard,PollTo00
Jerome Ford,FordJe00
Najee Harris,HarrNa00
Tua Tagovailoa,TagoTu00
Dalton Schultz,SchuDa00
Mark Andrews,AndrMa00
De'Von Achane,AchaDe00
Justin Jefferson,JeffJu00
Brian Robinson Jr.,RobiBr01
Rashee Rice,RiceRa01
D'Andre Swift,SwifDA00
Courtland Sutton,SuttCo00
Terry McLaurin,McLaTe00
Trevor Lawrence,LawrTr00
Sam Howell,HoweSa00
Russell Wilson,WilsRu00
Matthew Stafford,StafMa00
Derek Carr,CarrDe02
Justin Herbert,HerbJu00
Justin Fields,FielJu00
Geno Smith,SmitGe00
Joshua Dobbs,DobbJo00
Gardner Minshew II,MinsGa00
Desmond Ridder,RiddDe00
Alvin Kamara,KamaAl00
Bryce Young,YounBr01
Kirk Cousins,CousKi00
Joe Burrow,BurrJo01
Kyler Murray,MurrKy00
Chuba Hubbard,HubbCh01
Josh Jacobs,JacoJo01
Jake Browning,BrowJa08
Zack Moss,MossZa00
Devin Singletary,SingDe00
Jonathan Taylor,TaylJo02
Jaylen Warren,WarrJa01
Austin Ekeler,EkelAu00
Javonte Williams,WillJa10
Zay Flowers,FlowZa00
Adam Thielen,ThieAd00
Jaylen Waddle,WaddJa00
Chris Godwin,GodwCh00
Aidan O'Connell,OConAi00
Ezekiel Elliott,ElliEz00
Tyler Lockett,LockTy00
Tyler Allgeier,AllgTy00
Zach Wilson,WilsZa00
Brandin Cooks,CookBr00
Tank Dell,DellNa00
Garrett Wilson,WilsGa00
Gabriel Davis,DaviGa01
Romeo Doubs,DoubRo00
Kenny Pickett,PickKe00
Rashid Shaheed,ShahRa00
Rhamondre Stevenson,StevRh00
Mac Jones,JoneMa05
Aaron Jones,JoneAa00
Cooper Kupp,KuppCo00
Drake London,LondDr00
Kareem Hunt,HuntKa00
Alexander Mattison,MattAl01
Diontae Johnson,JohnDi01
Will Levis,LeviWi00
Tyjae Spears,SpeaTy00
Joe Flacco,FlacJo00
Darius Slayton,SlayDa01
AJ Dillon,DillAJ00
Tee Higgins,HiggTe00
Curtis Samuel,SamuCu00
Tommy DeVito,DeViTo00
Khalil Herbert,HerbKh00
Christian Kirk,KirkCh01
Josh Downs,DownJo00
Josh Reynolds,ReynJo00
Jerry Jeudy,JeudJe00
Jaxon Smith-Njigba,SmitJa06
Tyrod Taylor,TaylTy00
Deshaun Watson,WatsDe00
Marquise Brown,BrowMa04
Kyle Pitts,PittKy00
DJ Chark,CharDJ00
Justice Hill,HillJu00
Dontayvion Wicks,WickDo00
Ty Chandler,ChanTy01
D'Onta Foreman,ForeDO00
Ryan Tannehill,TannRy00
Antonio Gibson,GibsAn00
Tyler Boyd,BoydTy00
Hunter Henry,HenrHu00
Dallas Goedert,GoedDa00
Dalton Kincaid,KincDa00
Michael Wilson,WilsMi02
Jahan Dotson,DotsJa00
Rico Dowdle,DowdRi01
Jaleel McLaughlin,McLaJa00
Khalil Shakir,ShakKh00
Jonnu Smith,SmitJo01
Tutu Atwell,AtweTu00
Odell Beckham Jr.,BeckOd00
Zach Charbonnet,CharZa00
Elijah Moore,MoorEl00
Anthony Richardson,RichAn03
Wan'Dale Robinson,RobiWa01
Christian Watson,WatsCh00
K.J. Osborn,OsboKJ00
Logan Thomas,ThomLo00
Isaiah Likely,LikeIs00
Samaje Perine,PeriSa00
Cade Otton,OttoCa00
Dameon Pierce,PierDa01
Noah Brown,BrowNo00
Josh Palmer,PalmJo00
Bailey Zappe,ZappBa00
Roschon Johnson,JohnRo07
Easton Stick,SticEa00
Kenneth Gainwell,GainKe00
Nick Mullens,MullNi00
Taylor Heinicke,HeinTa00
Latavius Murray,MurrLa00
Rondale Moore,MoorRo02
Jimmy Garoppolo,GaroJi00
Kendrick Bourne,BourKe00
Alec Pierce,PierAl00
Nelson Agholor,AghoNe00
Tyler Conklin,ConkTy00
Tyler Higbee,HigbTy00
Kalif Raymond,RaymKa00
Justin Watson,WatsJu01
Juwan Johnson,JohnJu02
Keaton Mitchell,MitcKe01
Demarcus Robinson,RobiDe01
Miles Sanders,SandMi01
Darren Waller,WallDa01
Gerald Everett,EverGe00
Jerick McKinnon,McKiJe00
Chigoziem Okonkwo,OkonCh00
Zamir White,WhitZa01
Demario Douglas,DougDe00
Daniel Jones,JoneDa05
Trey Palmer,PalmTr00
Nick Westbrook-Ikhine,WestNi00
Quentin Johnston,JohnQu02
Jameson Williams,WillJa11
Michael Gallup,GallMi00
Brandon Johnson,JohnBr23
Joshua Kelley,KellJo01
Tyson Bagent,BageTy00
Clyde Edwards-Helaire,EdwaCl00
Donald Parham,ParhDo00
